[INFO]- ################################################################################################
[INFO]- #                         _       ______   ________  ____    ____  _____                       #
[INFO]- #                        / \     |_   _ \ |_   __  ||_   \  /   _||_   _|                      #
[INFO]- #                       / _ \      | |_) |  | |_ \_|  |   \/   |    | |                        #
[INFO]- #                      / ___ \     |  __'.  |  _|     | |\  /| |    | |   _                    #
[INFO]- #                    _/ /   \ \_  _| |__) |_| |_     _| |_\/_| |_  _| |__/ |                   #
[INFO]- #                   |____| |____||_______/|_____|   |_____||_____||________|                   #
[INFO]- #                                                                                              #
[INFO]- ################################################################################################
[INFO]- num_threads : 1
[INFO]- +-------------------------------------- train data file ---------------------------------------+
[INFO]- | ################ file name ############### Atom number ## nframes ######### Element ######## |
[INFO]- | Train Iters:    93 ,Loss: 9.00e-01 ,Time: 0.093 ,E_tot: 1.15e-01 ,Force: 1.49e-01 ,Virial: 6.37e-01
[INFO]- | Train Iters:    94 ,Loss: 9.25e-01 ,Time: 0.093 ,E_tot: 1.20e-01 ,Force: 1.48e-01 ,Virial: 6.56e-01
[INFO]- | Train Iters:    95 ,Loss: 8.86e-01 ,Time: 0.089 ,E_tot: 1.09e-01 ,Force: 1.50e-01 ,Virial: 6.27e-01
[INFO]- | Train Iters:    96 ,Loss: 9.28e-01 ,Time: 0.092 ,E_tot: 1.21e-01 ,Force: 1.41e-01 ,Virial: 6.67e-01
[INFO]- | Train Iters:    97 ,Loss: 8.78e-01 ,Time: 0.090 ,E_tot: 1.41e-01 ,Force: 1.45e-01 ,Virial: 5.92e-01
[INFO]- | Train Iters:    98 ,Loss: 9.18e-01 ,Time: 0.097 ,E_tot: 1.53e-01 ,Force: 1.43e-01 ,Virial: 6.22e-01
[INFO]- | Train Iters:    99 ,Loss: 9.46e-01 ,Time: 0.097 ,E_tot: 1.42e-01 ,Force: 1.19e-01 ,Virial: 6.85e-01
[INFO]- | Train Iters:   100 ,Loss: 8.62e-01 ,Time: 0.089 ,E_tot: 1.37e-01 ,Force: 1.45e-01 ,Virial: 5.80e-01
[INFO]- | Train Information: Loss: 1.10e+00 ,Time: 9.919 ,E_tot: 3.01e-01 ,Force: 2.34e-01 ,Virial: 5.69e-01
[INFO]- |-- Valid Epoch:  1, batch size:  1, total iters:    100                                       |
[INFO]- | Valid Iters:     1 ,Loss: 9.97e-01 ,Time: 0.036 ,Force: 1.14e-01 ,E_tot: 1.45e-01 ,Virial: 7.39e-01
[INFO]- | Valid Iters:     2 ,Loss: 9.98e-01 ,Time: 0.120 ,Force: 1.14e-01 ,E_tot: 1.45e-01 ,Virial: 7.39e-01
[INFO]- | Valid Iters:     3 ,Loss: 9.98e-01 ,Time: 0.044 ,Force: 1.14e-01 ,E_tot: 1.45e-01 ,Virial: 7.39e-01
[INFO]- | Valid Iters:     4 ,Loss: 9.98e-01 ,Time: 0.068 ,Force: 1.14e-01 ,E_tot: 1.45e-01 ,Virial: 7.39e-01
[INFO]- | Valid Iters:     5 ,Loss: 9.99e-01 ,Time: 0.052 ,Force: 1.15e-01 ,E_tot: 1.45e-01 ,Virial: 7.39e-01
[INFO]- | Valid Iters:     6 ,Loss: 9.98e-01 ,Time: 0.036 ,Force: 1.15e-01 ,E_tot: 1.45e-01 ,Virial: 7.38e-01
[INFO]- | Valid Iters:     7 ,Loss: 9.98e-01 ,Time: 0.060 ,Force: 1.15e-01 ,E_tot: 1.45e-01 ,Virial: 7.38e-01
